service_id,date,exception_type
L1702FP102_017002,20260503,1
L1702LP103_017002,20260427,1
L1702LP103_017002,20260428,1
L1702LP103_017002,20260429,1
L1702LP103_017002,20260430,1
L1702LP103_017002,20260501,1
L1702SP101_017002,20260502,1
L1703LP103_017003,20260427,1
L1703LP103_017003,20260428,1
L1703LP103_017003,20260429,1
L1703LP103_017003,20260430,1
L1703LP103_017003,20260501,1
L1704LP104_017004,20260427,1
L1704LP104_017004,20260428,1
L1704LP104_017004,20260429,1
L1704LP104_017004,20260430,1
L1704LP104_017004,20260501,1
L1801LP104_018001,20260427,1
L1801LP104_018001,20260428,1
L1801LP104_018001,20260429,1
L1801LP104_018001,20260430,1
L1801LP104_018001,20260501,1
L2301F0103_023001,20260501,1
L2301F0103_023001,20260503,1
L2301LP401_023001,20260427,1
L2301LP401_023001,20260428,1
L2301LP401_023001,20260429,1
L2301LP401_023001,20260430,1
L2301LP401_023001,20260501,1
L2301SP101_023001,20260502,1
L2302LP100_023002,20260427,1
L2302LP100_023002,20260428,1
L2302LP100_023002,20260429,1
L2302LP100_023002,20260430,1
L2302LP100_023002,20260501,1
L2401FP102_024001,20260501,1
L2401FP102_024001,20260503,1
L2401LP102_024001,20260427,1
L2401LP102_024001,20260428,1
L2401LP102_024001,20260429,1
L2401LP102_024001,20260430,1
L2401LP102_024001,20260501,1
L2401SP102_024001,20260502,1
L2402FP102_024002,20260501,1
L2402FP102_024002,20260503,1
L2402LP101_024002,20260427,1
L2402LP101_024002,20260428,1
L2402LP101_024002,20260429,1
L2402LP101_024002,20260430,1
L2402LP101_024002,20260501,1
L2402SP102_024002,20260502,1
L2501L0104_025001,20260427,1
L2501L0104_025001,20260428,1
L2501L0104_025001,20260429,1
L2501L0104_025001,20260430,1
L2501L0104_025001,20260501,1
L2501S0103_025001,20260502,1
L2502L0104_025002,20260427,1
L2502L0104_025002,20260428,1
L2502L0104_025002,20260429,1
L2502L0104_025002,20260430,1
L2502L0104_025002,20260501,1
L2701L0112_027001,20260427,1
L2701L0112_027001,20260428,1
L2701L0112_027001,20260429,1
L2701L0112_027001,20260430,1
L2701L0112_027001,20260501,1
L2702LP200_027002,20260427,1
L2702LP200_027002,20260428,1
L2702LP200_027002,20260429,1
