shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Route_275,42.2100660093131,-8.74797546181446,26029,5260
Route_275,42.2103534767703,-8.7476377590972,26030,5302
Route_275,42.2104456039538,-8.74752953168421,26031,5316
Route_275,42.2104689067897,-8.74750215635443,26032,5319
Route_275,42.2108308782257,-8.74707692179447,26033,5372
Route_275,42.2108745845581,-8.74703668865925,26034,5378
Route_275,42.2109083576124,-8.74700718436009,26035,5383
Route_275,42.2109365593249,-8.74698949981606,26036,5386
Route_275,42.2109366801928,-8.74698937226694,26037,5386
Route_275,42.2109456201119,-8.74694478054207,26038,5390
Route_275,42.2109625066225,-8.74690555323522,26039,5394
Route_275,42.2110161460961,-8.74684319187563,26040,5401
Route_275,42.211454049431,-8.74624311265423,26041,5471
Route_275,42.21154657918,-8.74611631323259,26042,5486
Route_275,42.2119796643888,-8.74549135853212,26043,5556
Route_275,42.2126094201182,-8.74460354734819,26044,5657
Route_275,42.2132581984214,-8.74367580621262,26045,5762
Route_275,42.2133822039026,-8.74349847723406,26046,5783
Route_275,42.2143337667188,-8.7421198218004,26047,5938
Route_275,42.2143997413692,-8.74201110221347,26048,5949
Route_275,42.2144188228921,-8.74195406021099,26049,5955
Route_275,42.2144220113298,-8.74189166895075,26050,5960
Route_275,42.2144219295675,-8.74189165375654,26051,5960
Route_275,42.2144283858196,-8.7418537675542,26052,5963
Route_275,42.2144427882257,-8.74181588135187,26053,5967
Route_275,42.2144611637046,-8.74177799514953,26054,5970
Route_275,42.2144874853272,-8.74175620220129,26055,5974
Route_275,42.2145161283939,-8.74174895938566,26056,5977
Route_275,42.2145486624884,-8.74175243649299,26057,5981
Route_275,42.2145488270485,-8.74175244525907,26058,5981
Route_275,42.2148422410745,-8.74133811891956,26059,6028
Route_275,42.2149856968037,-8.74113554466941,26060,6051
Route_275,42.215675185792,-8.74016189531324,26061,6162
Route_275,42.2169087997512,-8.73836487545311,26062,6364
Route_275,42.2169346181161,-8.73832726434705,26063,6368
Route_275,42.2169537713415,-8.73829905242953,26064,6372
Route_275,42.2178863874968,-8.73692531379553,26065,6525
Route_275,42.2181582701236,-8.73652481988904,26066,6570
Route_275,42.2182749961181,-8.73634998935438,26067,6589
Route_275,42.2192966249466,-8.73481976344826,26068,6759
Route_275,42.2193580611986,-8.73472773984906,26069,6769
Route_275,42.2202507342723,-8.73345459286516,26070,6914
Route_275,42.2203472773803,-8.73331689790723,26071,6929
Route_275,42.220430225915,-8.73314495632842,26072,6946
Route_275,42.2204301923007,-8.73314485490334,26073,6946
Route_275,42.2203854994053,-8.7331005984546,26074,6952
Route_275,42.2203696085904,-8.73307109415543,26075,6955
Route_275,42.2203576904766,-8.73304158985627,26076,6958
Route_275,42.220340801223,-8.73300086106251,26077,6962
Route_275,42.2203273933387,-8.73297605062913,26078,6965
Route_275,42.2203219308665,-8.73294587577772,26079,6967
Route_275,42.2203187391403,-8.7329153191568,26080,6970
Route_275,42.2203234893585,-8.73288478484508,26081,6972
Route_275,42.2203234928226,-8.73288476257824,26082,6972
Route_275,42.2203160802766,-8.73285591499791,26083,6975
Route_275,42.2203126404376,-8.73282706741759,26084,6977
Route_275,42.2203097334369,-8.73277473667497,26085,6981
Route_275,42.2203107991745,-8.73272240609606,26086,6986
Route_275,42.2203158359112,-8.73267545550076,26087,6989
Route_275,42.2203158375955,-8.73267543980052,26088,6989
Route_275,42.2203137099999,-8.73263185193952,26089,6993
Route_275,42.2203155550819,-8.7325936285784,26090,6996
Route_275,42.2203213729015,-8.73255540521728,26091,6999
Route_275,42.2203351204444,-8.7325172252994,26092,7002
Route_275,42.220335136133,-8.73251718172884,26093,7002
Route_275,42.2203624484836,-8.73244945595121,26094,7008
Route_275,42.2203977062277,-8.73239245900965,26095,7014
Route_275,42.2204334605398,-8.7323656369195,26096,7019
Route_275,42.2204692148315,-8.73235222587442,26097,7023
Route_275,42.2204950373629,-8.73234149703836,26098,7026
Route_275,42.2205264320005,-8.73233423444076,26099,7030
Route_275,42.220527007438,-8.73233421589401,26100,7030
Route_275,42.2205456912808,-8.73178991362379,26101,7075
Route_275,42.2205486960905,-8.73170236971839,26102,7082
